Chegada,Mercadoria,Quantidade,Origem,Sentido,Porto
20/10/2024 04:36:00,ACUCAR A GRANEL,1,GRANEIS SOLIDOS - EXPORTACAO,Exportação,Porto de Santos
21/10/2024 10:06:00,ACUCAR A GRANEL,1,GRANEIS SOLIDOS - EXPORTACAO,Exportação,Porto de Santos
24/10/2024 10:06:00,ACUCAR A GRANEL,1,GRANEIS SOLIDOS - EXPORTACAO,Exportação,Porto de Santos
24/10/2024 16:00:00,ACUCAR A GRANEL,1,GRANEIS SOLIDOS - EXPORTACAO,Exportação,Porto de Santos
27/10/2024 16:45:00,ACUCAR A GRANEL,1,GRANEIS SOLIDOS - EXPORTACAO,Exportação,Porto de Santos
29/10/2024,ACUCAR A GRANEL,2,GRANEIS SOLIDOS - EXPORTACAO,Exportação,Porto de Santos
29/10/2024,GRAN.SOLIDO NAO ESPECIF,1,GRANEIS SOLIDOS - EXPORTACAO,Exportação,Porto de Santos
06/11/2024 01:00:00,VEICULOS/VRS/CCS.RO-RO VEICULOS/VRS/CCS.RO-RO,1,ROLL-IN-ROLL-OFF,Importação,Porto de Santos
07/11/2024 07:00:00,VEICULO VEICULO,1,ROLL-IN-ROLL-OFF,Importação,Porto de Santos
27/10/2024 07:45:00,VEICULOS/VRS/CCS.RO-RO VEICULOS/VRS/CCS.RO-RO,1,ROLL-IN-ROLL-OFF,Importação,Porto de Santos
29/10/2024,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,ROLL-IN-ROLL-OFF,Importação,Porto de Santos
01/11/2024 06:00:00,VEICULO,1,ROLL-IN-ROLL-OFF,Exportação,Porto de Santos
06/11/2024 01:00:00,VEICULOS/VRS/CCS.RO-RO VEICULOS/VRS/CCS.RO-RO,1,ROLL-IN-ROLL-OFF,Exportação,Porto de Santos
07/11/2024 06:00:00,VEICULO,1,ROLL-IN-ROLL-OFF,Exportação,Porto de Santos
07/11/2024 07:00:00,VEICULO VEICULO,1,ROLL-IN-ROLL-OFF,Exportação,Porto de Santos
11/11/2024 01:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,ROLL-IN-ROLL-OFF,Exportação,Porto de Santos
11/11/2024 07:00:00,VEICULO,1,ROLL-IN-ROLL-OFF,Exportação,Porto de Santos
12/11/2024 06:00:00,VEICULO,1,ROLL-IN-ROLL-OFF,Exportação,Porto de Santos
14/11/2024 07:00:00,VEICULO,1,ROLL-IN-ROLL-OFF,Exportação,Porto de Santos
17/11/2024 06:00:00,VEICULO,1,ROLL-IN-ROLL-OFF,Exportação,Porto de Santos
26/10/2024 23:40:00,VEICULOS/VRS/CCS.RO-RO,1,ROLL-IN-ROLL-OFF,Exportação,Porto de Santos
27/10/2024 07:45:00,VEICULOS/VRS/CCS.RO-RO VEICULOS/VRS/CCS.RO-RO,1,ROLL-IN-ROLL-OFF,Exportação,Porto de Santos
29/10/2024,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,ROLL-IN-ROLL-OFF,Exportação,Porto de Santos
29/10/2024,VEICULO,1,ROLL-IN-ROLL-OFF,Exportação,Porto de Santos
30/11/2024 06:00:00,VEICULO,1,ROLL-IN-ROLL-OFF,Exportação,Porto de Santos
01/12/2024 06:00:00,CARGA GERAL,3,LASH,Exportação,Porto de Santos
05/11/2024 06:00:00,CARGA GERAL,1,LASH,Exportação,Porto de Santos
15/11/2024 06:00:00,CARGA GERAL,1,LASH,Exportação,Porto de Santos
29/10/2024,CARGA GERAL,2,LASH,Exportação,Porto de Santos
18/10/2024 12:48:00,OUTROS,1,CABOTAGEM,Importação,Porto de Santos
29/10/2024,CARGA GERAL,1,CABOTAGEM,Importação,Porto de Santos
29/10/2024 00:28:00,PRODUTOS SIDERURGICOS,1,CABOTAGEM,Importação,Porto de Santos
01/11/2024 07:00:00,PAPEL E CELULOSE,1,CABOTAGEM,Exportação,Porto de Santos
30/10/2024 07:00:00,PAPEL E CELULOSE,1,CABOTAGEM,Exportação,Porto de Santos
30/10/2024 10:00:00,PAPEL E CELULOSE,1,CABOTAGEM,Exportação,Porto de Santos
31/10/2024 07:00:00,PAPEL E CELULOSE,1,CABOTAGEM,Exportação,Porto de Santos
01/11/2024,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
01/11/2024 07:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
01/11/2024 08:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
01/12/2024,CONTEINERES CHEIOS CONTEINERES CHEIOS,2,CONTEINERES,Importação,Porto de Santos
01/12/2024 02:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
01/12/2024 18:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
02/11/2024,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
02/11/2024 01:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
